SKU,Country,State/Province/Market,Date,Market Manager,Cost of Goods Sold,Sell Price,Profit,Profit Margin,Sales (4.5 L Cases),Revenue,Profit of Sales,Accounts Sold,Monthly Rate of Sales per Account,Tequila Tastings,Distributor Size,Market Type,Brand Ambassador Hired,Number of Brand Ambassadors,Top 10 Tequila Market
Tequila Plata,United States,Alabama,2021-01-01,Tammy,62.24,110,47.76,0.5658181818181819,0.0,0.0,0.0,,,0,Large,Controlled Market,No,0,No
Tequila Plata,United States,Alabama,2021-02-01,Tammy,62.24,110,47.76,0.5658181818181819,0.0,0.0,0.0,,,0,Large,Controlled Market,No,0,No
Tequila Plata,United States,Alabama,2021-03-01,Tammy,62.24,110,47.76,0.5658181818181819,0.0,0.0,0.0,,,0,Large,Controlled Market,No,0,No
Tequila Plata,United States,Alabama,2021-04-01,Tammy,62.24,110,47.76,0.5658181818181819,0.0,0.0,0.0,,,0,Large,Controlled Market,No,0,No
Tequila Plata,United States,Alabama,2021-05-01,Tammy,62.24,110,47.76,0.5658181818181819,0.0,0.0,0.0,,,0,Large,Controlled Market,No,0,No
Tequila Plata,United States,Alabama,2021-06-01,Tammy,62.24,110,47.76,0.5658181818181819,0.0,0.0,0.0,,,0,Large,Controlled Market,No,0,No
Tequila Plata,United States,Alabama,2021-07-01,Tammy,62.24,110,47.76,0.5658181818181819,0.0,0.0,0.0,,,0,Large,Controlled Market,No,0,No
Tequila Plata,United States,Alabama,2021-08-01,Tammy,62.24,110,47.76,0.5658181818181819,0.0,0.0,0.0,,,0,Large,Controlled Market,No,0,No
Tequila Plata,United States,Alabama,2021-09-01,Tammy,62.24,110,47.76,0.5658181818181819,0.0,0.0,0.0,,,0,Large,Controlled Market,No,0,No
Tequila Plata,United States,Alabama,2021-10-01,Tammy,62.24,110,47.76,0.5658181818181819,0.0,0.0,0.0,,,0,Large,Controlled Market,No,0,No
Tequila Plata,United States,Alabama,2021-11-01,Tammy,62.24,110,47.76,0.5658181818181819,0.0,0.0,0.0,,,0,Large,Controlled Market,No,0,No
Tequila Plata,United States,Alabama,2021-12-01,Tammy,62.24,110,47.76,0.5658181818181819,0.0,0.0,0.0,,,0,Large,Controlled Market,No,0,No
Tequila Reposado,United States,Alabama,2021-01-01,Tammy,69.27,120,50.73,0.5772499999999999,0.0,0.0,0.0,,,0,Large,Controlled Market,No,0,No
Tequila Reposado,United States,Alabama,2021-02-01,Tammy,69.27,120,50.73,0.5772499999999999,0.0,0.0,0.0,,,0,Large,Controlled Market,No,0,No
Tequila Reposado,United States,Alabama,2021-03-01,Tammy,69.27,120,50.73,0.5772499999999999,0.0,0.0,0.0,,,0,Large,Controlled Market,No,0,No
Tequila Reposado,United States,Alabama,2021-04-01,Tammy,69.27,120,50.73,0.5772499999999999,0.0,0.0,0.0,,,0,Large,Controlled Market,No,0,No
Tequila Reposado,United States,Alabama,2021-05-01,Tammy,69.27,120,50.73,0.5772499999999999,0.0,0.0,0.0,,,0,Large,Controlled Market,No,0,No
